GAMESPERROUND,GHOSTGAMESPERROUND,randomizationAmount,randomizationStrengthWeights,randomizationStrengthBiases,SNAPSHOT_PROBABILITY,GHOSTAGENTS_POP,ROUND_COUNT,WINFITNESS,DRAWFITNESS,LOSEFITNESS,WINFITNESSGHOST,DRAWFITNESSGHOST,LOSEFITNESSGHOST,FITNESS_SCORE
20,7,0.02,0.03,0.03,7000,150,5000,4,0.6,-0.5,4,0.2,-0.5,-54.099000000000004
20,7,0.02,0.03,0.03,5500,150,5000,4,0.6,-0.5,4,0.2,-0.5,-65.60366666666667
20,7,0.02,0.03,0.03,5000,150,5000,4,0.6,-0.5,4,0.2,-0.5,6.322666666666663
20,7,0.02,0.03,0.03,4000,150,5000,4,0.6,-0.5,4,0.2,-0.5,-23.181666666666665
20,7,0.02,0.03,0.03,6000,150,5000,4,0.6,-0.5,4,0.2,-0.5,-8.749666666666663
