1,23,11,16
6,30,7,13
11,22,10,18
16,24,9,17
21,31,6,13
26,30,6,14
31,26,2,22
36,25,0,25
41,31,0,19
46,24,0,26
51,24,0,26
56,30,0,20
61,30,0,20
66,35,0,15
71,27,0,23
76,23,0,27
81,30,0,20
86,23,0,27
91,30,0,20
96,25,0,25
101,30,0,20
106,27,0,23
111,23,0,27
116,24,0,26
121,34,0,16
126,26,0,24
131,32,0,18
136,25,0,25
141,28,0,22
146,28,0,22
151,34,0,16
156,31,0,19
161,28,0,22
166,27,0,23
171,30,0,20
176,25,0,25
181,27,0,23
186,34,0,16
191,42,0,8
196,43,0,7
201,45,0,5
206,42,0,8
211,43,0,7
216,41,0,9
221,40,0,10
226,36,0,14
231,38,0,12
236,32,0,18
241,35,0,15
246,37,0,13
251,39,0,11
256,43,0,7
261,38,0,12
266,38,0,12
271,42,0,8
276,41,0,9
281,40,0,10
286,45,0,5
291,40,0,10
296,35,0,15
301,44,0,6
306,40,0,10
311,40,0,10
316,42,0,8
321,36,0,14
326,41,0,9
331,43,0,7
336,45,0,5
341,36,0,14
346,37,0,13
351,44,0,6
356,41,0,9
361,43,0,7
366,44,0,6
371,45,0,5
376,40,0,10
381,39,0,11
386,42,0,8
391,39,0,11
396,43,0,7
401,41,0,9
406,45,0,5
411,43,0,7
416,49,0,1
421,42,0,8
426,45,0,5
431,44,0,6
436,44,0,6
441,45,0,5
446,41,0,9
451,42,0,8
456,41,0,9
461,42,0,8
466,40,0,10
471,42,0,8
476,42,0,8
481,48,0,2
486,45,0,5
491,47,0,3
496,42,0,8
501,44,0,6
506,42,0,8
511,38,0,12
516,43,0,7
521,44,1,5
526,36,2,12
531,33,0,17
536,36,0,14
541,39,0,11
546,30,1,19
551,27,1,22
556,34,0,16
561,34,0,16
566,29,1,20
571,28,0,22
576,32,1,17
581,34,0,16
586,25,0,25
591,30,0,20
596,27,2,21
601,35,0,15
606,30,0,20
611,30,0,20
616,29,0,21
621,31,0,19
626,31,0,19
631,33,0,17
636,33,0,17
641,29,1,20
646,27,0,23
651,26,1,23
656,27,0,23
661,31,0,19
666,30,1,19
671,32,1,17
676,28,0,22
681,32,0,18
686,34,1,15
691,29,1,20
696,27,4,19
701,29,2,19
706,26,7,17
711,24,6,20
716,25,7,18
721,29,10,11
726,27,7,16
731,28,9,13
736,27,5,18
741,33,3,14
746,25,7,18
751,32,5,13
756,37,4,9
761,32,8,10
766,41,2,7
771,41,1,8
776,41,4,5
781,44,1,5
786,32,4,14
791,31,7,12
796,37,5,8
