Round_Number,wins,draws,losses
1,2,1,47
6,2,1,47
11,4,1,45
16,7,1,42
21,16,3,31
26,19,3,28
31,23,1,26
36,18,2,30
41,13,7,30
46,13,3,34
51,20,4,26
56,14,6,30
61,17,3,30
66,26,3,21
71,17,3,30
76,18,5,27
81,17,3,30
86,23,5,22
91,20,1,29
96,24,2,24
101,17,3,30
106,18,0,32
111,20,2,28
116,27,0,23
121,24,4,22
126,25,2,23
131,21,3,26
136,20,3,27
141,24,4,22
146,18,3,29
151,32,0,18
